id,language,difficulty_level,sentence_text,meaning_english,pronunciation_guide,category
es_beg_001,es,beginner,Hola,Hello,OH-lah,greetings
fr_beg_002,fr,beginner,Je m'appelle Pierre,My name is Pierre,zhuh mah-PEHL pee-YAIR,greetings
de_beg_003,de,beginner,Was kostet das?,What does that cost?,vahs KOS-tet dahs,shopping
ja_beg_004,ja,beginner,Arigatou gozaimasu,Thank you very much,ah-ree-GAH-toh goh-ZAH-ee-mahs,greetings
hi_beg_005,hi,beginner,Paani chahiye,I need water,PAH-nee chah-HEE-yeh,food
es_beg_006,es,beginner,¿Dónde está el baño?,Where is the bathroom?,DOHN-deh es-TAH el BAH-nyoh,travel
fr_beg_007,fr,beginner,J'ai faim,I am hungry,zhay FAHN,food
de_beg_008,de,beginner,Wie spät ist es?,What time is it?,vee shpeht ist es,time
ja_beg_009,ja,beginner,Watashi no kazoku,My family,wah-TAH-shee noh kah-ZOH-koo,family
hi_beg_010,hi,beginner,Aaj garmi hai,It's hot today,AAHJ gar-MEE hai,weather
es_beg_011,es,beginner,Me gusta leer,I like to read,meh GOOS-tah leh-ER,hobbies
fr_beg_012,fr,beginner,Je vais au travail,I go to work,zhuh veh oh trah-VY,daily_activities
de_beg_013,de,beginner,Mir tut der Kopf weh,My head hurts,meer toot der kopf veh,health
ja_beg_014,ja,beginner,Doko ni sunde imasu ka?,Where do you live?,DOH-koh nee SOON-deh ee-MAH-soo kah,greetings
hi_beg_015,hi,beginner,Main kaam karta hun,I work,main KAAM kar-TAH hoon,daily_activities

es_int_001,es,intermediate,¿Podrías ayudarme con esto?,Could you help me with this?,poh-DREE-ahs ah-yoo-DAR-meh kon ES-toh,daily_activities
fr_int_002,fr,intermediate,Je voudrais réserver une table,I would like to reserve a table,zhuh voo-DREH reh-zer-VAY oon TAH-bluh,food
de_int_003,de,intermediate,Können Sie mir den Weg zeigen?,Can you show me the way?,KER-nen zee meer den vehg TSEY-gen,travel
ja_int_004,ja,intermediate,Sumimasen ga doko de kippu wo kaimasu ka?,Excuse me where do I buy tickets?,soo-mee-MAH-sen gah DOH-koh deh KEEP-poo woh KAH-ee-mahs kah,travel
hi_int_005,hi,intermediate,Kya aap meri madad kar sakte hain?,Can you help me?,kyah AAP meh-REE mah-DAHD kar sak-TEH hain,greetings
es_int_006,es,intermediate,Me gustaría cambiar dinero,I would like to exchange money,meh goos-tah-REE-ah kahm-bee-AR dee-NEH-roh,shopping
fr_int_007,fr,intermediate,À quelle heure ferme le magasin?,What time does the store close?,ah kel UR fairm luh mah-gah-ZAHN,shopping
de_int_008,de,intermediate,Ich hätte gern einen Kaffee,I would like a coffee,ikh HET-teh gairn EYE-nen kah-FEH,food
ja_int_009,ja,intermediate,Tenki wa dou desu ka?,How is the weather?,TEN-kee wah doh deh-SOO kah,weather
hi_int_010,hi,intermediate,Mere parivaar mein char log hain,There are four people in my family,MEH-reh pah-ree-VAAR main chahr log hain,family
es_int_011,es,intermediate,¿A qué hora abre el museo?,What time does the museum open?,ah keh OH-rah AH-breh el moo-SEH-oh,travel
fr_int_012,fr,intermediate,J'aime jouer au tennis,I like to play tennis,zhehm zhoo-AY oh teh-NEES,hobbies
de_int_013,de,intermediate,Ich fühle mich nicht wohl,I don't feel well,ikh FUE-leh mikh nikht vohl,health
ja_int_014,ja,intermediate,Mainichi shigoto ni ikimasu,I go to work every day,my-NEE-chee shee-GOH-toh nee ee-kee-mahs,daily_activities
hi_int_015,hi,intermediate,Mujhe bazaar jaana hai,I need to go to the market,MUJ-heh bah-ZAAR jah-NAH hai,shopping

es_adv_001,es,advanced,¿Podrías recomendarme un buen restaurante que no sea muy caro?,Could you recommend a good restaurant that isn't too expensive?,poh-DREE-ahs reh-koh-men-DAR-meh oon bwen res-tah-RAHN-teh keh noh SEH-ah mwee KAH-roh,food
fr_adv_002,fr,advanced,Je me demande s'il serait possible de changer ma réservation,I wonder if it would be possible to change my reservation,zhuh muh duh-MAHND seel suh-REH pos-SEE-bluh duh shahn-ZHAY mah reh-zair-vah-see-OHN,travel
de_adv_003,de,advanced,Entschuldigen Sie die Verspätung aber der Verkehr war furchtbar,Excuse the delay but the traffic was terrible,ent-SHOOL-dee-gen zee dee fair-SHPEH-toong AH-ber der fair-KAIR vahr FOORKT-bahr,travel
ja_adv_004,ja,advanced,Moshi yokattara issho ni eiga wo mi ni ikimasen ka?,If you'd like would you go see a movie together?,moh-SHEE yoh-kah-TAH-rah ee-SHOH nee EH-ee-gah woh mee nee ee-kee-mah-sen kah,hobbies
hi_adv_005,hi,advanced,Agar aapko koi pareshani ho to mujhse sampark kar sakte hain,If you have any trouble you can contact me,ah-GAR AAP-koh koh-EE pah-reh-SHAH-nee hoh toh MUJ-seh sam-PARK kar sak-TEH hain,greetings
es_adv_006,es,advanced,A pesar del mal tiempo decidimos continuar con nuestros planes,Despite the bad weather we decided to continue with our plans,ah peh-SAHR del mahl tee-EHM-poh deh-see-DEE-mohs kon-tee-noo-AHR kon NWES-trohs PLAH-nes,weather
fr_adv_007,fr,advanced,Bien que ce soit difficile je pense que nous pouvons y arriver,Although it's difficult I think we can manage it,bee-AHN kuh suh swah dee-fee-SEEL zhuh pahnss kuh noo poo-VOHN ee ah-ree-VAY,daily_activities
de_adv_008,de,advanced,Ich würde gerne wissen ob es möglich wäre einen Termin zu vereinbaren,I would like to know if it would be possible to arrange an appointment,ikh VUER-deh GAIR-neh VIS-sen ohb es MERG-likh VAI-reh EYE-nen ter-MEEN tsoo fair-EYN-bah-ren,health
ja_adv_009,ja,advanced,Kono ryouri wa totemo oishii desu ga sukoshi shoppai you ni omoimasu,This food is very delicious but I think it's a little salty,koh-NOH ryoh-OH-ree wah toh-TEH-moh oh-EE-shee dehs gah soo-KOH-shee SHOHP-pie yoh nee oh-moh-ee-mahs,food
hi_adv_010,hi,advanced,Vyavasaya mein safalta paane ke liye mehnat aur samay dono zaroori hain,To succeed in business both hard work and time are necessary,vya-vah-SAH-yah main sah-FAHL-tah pah-NEH keh lee-YEH meh-NAT aur sah-MAY doh-NOH zah-ROO-ree hain,daily_activities
es_adv_011,es,advanced,Me pregunto si habrá tiempo suficiente para visitar todos los lugares,I wonder if there will be enough time to visit all the places,meh preh-GOON-toh see ah-BRAH tee-EHM-poh soo-fee-see-EHN-teh PAH-rah vee-see-TAHR TOH-dohs lohs loo-GAH-res,travel
fr_adv_012,fr,advanced,Depuis que j'ai commencé ce nouveau hobby je me sens beaucoup mieux,Since I started this new hobby I feel much better,duh-PWEE kuh zhay kom-mahn-SAY suh noo-VOH oh-BEE zhuh muh sahn boh-KOO mee-UH,hobbies
de_adv_013,de,advanced,Die ganze Familie freut sich schon auf die gemeinsamen Ferien,The whole family is already looking forward to the vacation together,dee GAHN-tseh fah-MEE-lee FROY-t zikh shohn owf dee guh-MYN-zah-men FEH-ree-en,family
ja_adv_014,ja,advanced,Kaimono wo suru mae ni yosan wo kangaete okimashita,I thought about the budget before going shopping,KAH-ee-moh-noh woh soo-ROO mah-EH nee yoh-SAHN woh kahn-gah-eh-TEH oh-kee-mah-shee-tah,shopping
hi_adv_015,hi,advanced,Doctor ne kaha ki niyamit vyayam aur accha khana sehat ke liye bahut zaroori hai,The doctor said that regular exercise and good food are very important for health,DOC-tor neh kah-HAH kee nee-YAH-mit vya-YAHM aur ah-CHAH khah-NAH seh-HAHT keh lee-YEH bah-HOOT zah-ROO-ree hai,health